,__type,AreaNum,AreaType,BallotOrder,CandidateID,CountyID,CountyName,CurrentDateTime,IsReported,OfficeSeqNo,PartyCode,PartyName,PrecinctName,PrecinctsPartial,PrecinctsReporting,RaceID,RaceName,RecountPercent,RecountVotes,StatePrecinctID,TotalPrecincts,VoteFor,Winner,calcCandidate,calcCandidatePercentage,calcCandidateVotes,Unnamed: 26
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23837,15,Flathead,,False,3004,REP,Republican,PCT 01,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,49,130,1,False,JENNIFER  FIELDER,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23838,15,Flathead,,False,3004,IND,Independent,PCT 01,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,49,130,1,False,ELENA EVANS,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23837,15,Flathead,,False,3004,REP,Republican,PCT 19,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,67,130,1,False,JENNIFER  FIELDER,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23838,15,Flathead,,False,3004,IND,Independent,PCT 19,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,67,130,1,False,ELENA EVANS,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23837,15,Flathead,,False,3004,REP,Republican,PCT 20,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,68,130,1,False,JENNIFER  FIELDER,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23838,15,Flathead,,False,3004,IND,Independent,PCT 20,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,68,130,1,False,ELENA EVANS,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23837,15,Flathead,,False,3004,REP,Republican,PCT 21,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,69,130,1,False,JENNIFER  FIELDER,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23838,15,Flathead,,False,3004,IND,Independent,PCT 21,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,69,130,1,False,ELENA EVANS,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23837,15,Flathead,,False,3004,REP,Republican,PCT 22,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,70,130,1,False,JENNIFER  FIELDER,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23838,15,Flathead,,False,3004,IND,Independent,PCT 22,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,70,130,1,False,ELENA EVANS,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23837,15,Flathead,,False,3004,REP,Republican,PCT 23,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,71,130,1,False,JENNIFER  FIELDER,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23838,15,Flathead,,False,3004,IND,Independent,PCT 23,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,71,130,1,False,ELENA EVANS,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23837,15,Flathead,,False,3004,REP,Republican,PCT 24,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,72,130,1,False,JENNIFER  FIELDER,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23838,15,Flathead,,False,3004,IND,Independent,PCT 24,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,72,130,1,False,ELENA EVANS,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23837,15,Flathead,,False,3004,REP,Republican,PCT 30,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,78,130,1,False,JENNIFER  FIELDER,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23838,15,Flathead,,False,3004,IND,Independent,PCT 30,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,78,130,1,False,ELENA EVANS,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23837,15,Flathead,,False,3004,REP,Republican,PCT 31,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,79,130,1,False,JENNIFER  FIELDER,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23838,15,Flathead,,False,3004,IND,Independent,PCT 31,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,79,130,1,False,ELENA EVANS,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23837,15,Flathead,,False,3004,REP,Republican,PCT 32,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,80,130,1,False,JENNIFER  FIELDER,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23838,15,Flathead,,False,3004,IND,Independent,PCT 32,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,80,130,1,False,ELENA EVANS,0,0,
MapData:#MontanaWebServices,PUBLIC SERVICE COMMISSIONER DISTRICT 4,,99,23837,15,Flathead,,False,3004,REP,Republican,PCT 33,0,0,450000000001612,PUBLIC SERVICE COMMISSIONER, DISTRICT 4,0,0,81,130,1,False,JENNIFER  FIELDER,0,0,
